#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
H              1       0    1    0    0    0    0    0    0    0    0    0    0    0    0
C             12       0    0    0    1    0    0    0    0    0    0    0    0    0    0
Fe            56       0    0    0    0    0    0    0    0    1    0    0    0    0    0
Mg            24       0    0    0    0    0    0    0    0    0    0    1    0    0    0
S             32       0    0    0    0    0    0    0    1    0    0    0    0    0    0
Si            28       0    0    0    0    0    0    1    0    0    0    0    0    0    0
O             16       0    0    0    0    0    1    0    0    0    0    0    0    0    0
N             14       0    0    0    0    1    0    0    0    0    0    0    0    0    0
He             4       0    0    1    0    0    0    0    0    0    0    0    0    0    0
Cl            35       0    0    0    0    0    0    0    0    0    0    0    1    0    0
Na            23       0    0    0    0    0    0    0    0    0    1    0    0    0    0
P             31       0    0    0    0    0    0    0    0    0    0    0    0    1    0
F             19       0    0    0    0    0    0    0    0    0    0    0    0    0    1
OH            17       0    1    0    0    0    1    0    0    0    0    0    0    0    0
CO            28       0    0    0    1    0    1    0    0    0    0    0    0    0    0
CS            44       0    0    0    1    0    0    0    1    0    0    0    0    0    0
HS            33       0    1    0    0    0    0    0    1    0    0    0    0    0    0
N2            28       0    0    0    0    2    0    0    0    0    0    0    0    0    0
NH            15       0    1    0    0    1    0    0    0    0    0    0    0    0    0
SiH           29       0    1    0    0    0    0    1    0    0    0    0    0    0    0
SiO           44       0    0    0    0    0    1    1    0    0    0    0    0    0    0
SO            48       0    0    0    0    0    1    0    1    0    0    0    0    0    0
CH            13       0    1    0    1    0    0    0    0    0    0    0    0    0    0
O2            32       0    0    0    0    0    2    0    0    0    0    0    0    0    0
H2             2       0    2    0    0    0    0    0    0    0    0    0    0    0    0
C2            24       0    0    0    2    0    0    0    0    0    0    0    0    0    0
CN            26       0    0    0    1    1    0    0    0    0    0    0    0    0    0
MgH           25       0    1    0    0    0    0    0    0    0    0    1    0    0    0
NaH           24       0    1    0    0    0    0    0    0    0    1    0    0    0    0
NO            30       0    0    0    0    1    1    0    0    0    0    0    0    0    0
NS            46       0    0    0    0    1    0    0    1    0    0    0    0    0    0
PH            32       0    1    0    0    0    0    0    0    0    0    0    0    1    0
PN            45       0    0    0    0    1    0    0    0    0    0    0    0    1    0
PO            47       0    0    0    0    0    1    0    0    0    0    0    0    1    0
S2            64       0    0    0    0    0    0    0    2    0    0    0    0    0    0
SiC           40       0    0    0    1    0    0    1    0    0    0    0    0    0    0
SiN           42       0    0    0    0    1    0    1    0    0    0    0    0    0    0
SiS           60       0    0    0    0    0    0    1    1    0    0    0    0    0    0
CCl           47       0    0    0    1    0    0    0    0    0    0    0    1    0    0
ClO           51       0    0    0    0    0    1    0    0    0    0    0    1    0    0
CP            43       0    0    0    1    0    0    0    0    0    0    0    0    1    0
HCl           36       0    1    0    0    0    0    0    0    0    0    0    1    0    0
HF            20       0    1    0    0    0    0    0    0    0    0    0    0    0    1
CCH           25       0    1    0    2    0    0    0    0    0    0    0    0    0    0
C3            36       0    0    0    3    0    0    0    0    0    0    0    0    0    0
CH2           14       0    2    0    1    0    0    0    0    0    0    0    0    0    0
SO2           64       0    0    0    0    0    2    0    1    0    0    0    0    0    0
H2O           18       0    2    0    0    0    1    0    0    0    0    0    0    0    0
HCN           27       0    1    0    1    1    0    0    0    0    0    0    0    0    0
HCSi          41       0    1    0    1    0    0    1    0    0    0    0    0    0    0
CCN           38       0    0    0    2    1    0    0    0    0    0    0    0    0    0
CCS           56       0    0    0    2    0    0    0    1    0    0    0    0    0    0
CCO           40       0    0    0    2    0    1    0    0    0    0    0    0    0    0
CCP           55       0    0    0    2    0    0    0    0    0    0    0    0    1    0
CO2           44       0    0    0    1    0    2    0    0    0    0    0    0    0    0
H2S           34       0    2    0    0    0    0    0    1    0    0    0    0    0    0
HCO           29       0    1    0    1    0    1    0    0    0    0    0    0    0    0
HCP           44       0    1    0    1    0    0    0    0    0    0    0    0    1    0
HCS           45       0    1    0    1    0    0    0    1    0    0    0    0    0    0
HNC           27       0    1    0    1    1    0    0    0    0    0    0    0    0    0
HNO           31       0    1    0    0    1    1    0    0    0    0    0    0    0    0
HNSi          43       0    1    0    0    1    0    1    0    0    0    0    0    0    0
HPO           48       0    1    0    0    0    1    0    0    0    0    0    0    1    0
HSS           65       0    1    0    0    0    0    0    2    0    0    0    0    0    0
N2O           44       0    0    0    0    2    1    0    0    0    0    0    0    0    0
NaOH          40       0    1    0    0    0    1    0    0    0    1    0    0    0    0
NH2           16       0    2    0    0    1    0    0    0    0    0    0    0    0    0
NO2           46       0    0    0    0    1    2    0    0    0    0    0    0    0    0
O2H           33       0    1    0    0    0    2    0    0    0    0    0    0    0    0
OCN           42       0    0    0    1    1    1    0    0    0    0    0    0    0    0
OCS           60       0    0    0    1    0    1    0    1    0    0    0    0    0    0
PH2           33       0    2    0    0    0    0    0    0    0    0    0    0    1    0
c-SiC2        52       0    0    0    2    0    0    1    0    0    0    0    0    0    0
SiH2          30       0    2    0    0    0    0    1    0    0    0    0    0    0    0
SiNC          54       0    0    0    1    1    0    1    0    0    0    0    0    0    0
SiO2          60       0    0    0    0    0    2    1    0    0    0    0    0    0    0
C4            48       0    0    0    4    0    0    0    0    0    0    0    0    0    0
c-C3H         37       0    1    0    3    0    0    0    0    0    0    0    0    0    0
l-C3H         37       0    1    0    3    0    0    0    0    0    0    0    0    0    0
CH3           15       0    3    0    1    0    0    0    0    0    0    0    0    0    0
C2H2          26       0    2    0    2    0    0    0    0    0    0    0    0    0    0
NH3           17       0    3    0    0    1    0    0    0    0    0    0    0    0    0
SiCH2         42       0    2    0    1    0    0    1    0    0    0    0    0    0    0
C3N           50       0    0    0    3    1    0    0    0    0    0    0    0    0    0
C3O           52       0    0    0    3    0    1    0    0    0    0    0    0    0    0
C3P           67       0    0    0    3    0    0    0    0    0    0    0    0    1    0
C3S           68       0    0    0    3    0    0    0    1    0    0    0    0    0    0
H2CO          30       0    2    0    1    0    1    0    0    0    0    0    0    0    0
H2CS          46       0    2    0    1    0    0    0    1    0    0    0    0    0    0
HOOH          34       0    2    0    0    0    2    0    0    0    0    0    0    0    0
HSSH          66       0    2    0    0    0    0    0    2    0    0    0    0    0    0
H2SiO         46       0    2    0    0    0    1    1    0    0    0    0    0    0    0
HCCP          56       0    1    0    2    0    0    0    0    0    0    0    0    1    0
HCCSi         53       0    1    0    2    0    0    1    0    0    0    0    0    0    0
l-SiC3        64       0    0    0    3    0    0    1    0    0    0    0    0    0    0
SiH3          31       0    3    0    0    0    0    1    0    0    0    0    0    0    0
H2CN          28       0    2    0    1    1    0    0    0    0    0    0    0    0    0
C5            60       0    0    0    5    0    0    0    0    0    0    0    0    0    0
c-C3H2        38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
l-C3H2        38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
C4H           49       0    1    0    4    0    0    0    0    0    0    0    0    0    0
CH4           16       0    4    0    1    0    0    0    0    0    0    0    0    0    0
HC3N          51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
H2CCN         40       0    2    0    2    1    0    0    0    0    0    0    0    0    0
H2CCO         42       0    2    0    2    0    1    0    0    0    0    0    0    0    0
C2H3          27       0    3    0    2    0    0    0    0    0    0    0    0    0    0
C4N           62       0    0    0    4    1    0    0    0    0    0    0    0    0    0
C4P           79       0    0    0    4    0    0    0    0    0    0    0    0    1    0
C4S           80       0    0    0    4    0    0    0    1    0    0    0    0    0    0
HCOOH         46       0    2    0    1    0    2    0    0    0    0    0    0    0    0
CH2PH         46       0    3    0    1    0    0    0    0    0    0    0    0    1    0
CH2NH         29       0    3    0    1    1    0    0    0    0    0    0    0    0    0
c-HCCHSi      54       0    2    0    2    0    0    1    0    0    0    0    0    0    0
SiC3H         65       0    1    0    3    0    0    1    0    0    0    0    0    0    0
SiC4          76       0    0    0    4    0    0    1    0    0    0    0    0    0    0
SiCH3         43       0    3    0    1    0    0    1    0    0    0    0    0    0    0
SiH4          32       0    4    0    0    0    0    1    0    0    0    0    0    0    0
HCNCC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
HCCNC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
HNCCC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
NH2CN         42       0    2    0    1    2    0    0    0    0    0    0    0    0    0
C6            72       0    0    0    6    0    0    0    0    0    0    0    0    0    0
CH3CN         41       0    3    0    2    1    0    0    0    0    0    0    0    0    0
CH2CCH        39       0    3    0    3    0    0    0    0    0    0    0    0    0    0
C2H4          28       0    4    0    2    0    0    0    0    0    0    0    0    0    0
NC4N          76       0    0    0    4    2    0    0    0    0    0    0    0    0    0
H2CSiCH       55       0    3    0    2    0    0    1    0    0    0    0    0    0    0
SiC4H         77       0    1    0    4    0    0    1    0    0    0    0    0    0    0
HC4N          63       0    1    0    4    1    0    0    0    0    0    0    0    0    0
C4H2          50       0    2    0    4    0    0    0    0    0    0    0    0    0    0
C5H           61       0    1    0    5    0    0    0    0    0    0    0    0    0    0
C5N           74       0    0    0    5    1    0    0    0    0    0    0    0    0    0
CH3OH         32       0    4    0    1    0    1    0    0    0    0    0    0    0    0
NH2CHO        45       0    3    0    1    1    1    0    0    0    0    0    0    0    0
C5O           76       0    0    0    5    0    1    0    0    0    0    0    0    0    0
C7            84       0    0    0    7    0    0    0    0    0    0    0    0    0    0
HC5N          75       0    1    0    5    1    0    0    0    0    0    0    0    0    0
SiC2CH3       67       0    3    0    3    0    0    1    0    0    0    0    0    0    0
CH3CHO        44       0    4    0    2    0    1    0    0    0    0    0    0    0    0
C2H5          29       0    5    0    2    0    0    0    0    0    0    0    0    0    0
CH2CHCN       53       0    3    0    3    1    0    0    0    0    0    0    0    0    0
CH3CCH        40       0    4    0    3    0    0    0    0    0    0    0    0    0    0
C5H2          62       0    2    0    5    0    0    0    0    0    0    0    0    0    0
C6H           73       0    1    0    6    0    0    0    0    0    0    0    0    0    0
CH3NH2        31       0    5    0    1    1    0    0    0    0    0    0    0    0    0
C4H3          51       0    3    0    4    0    0    0    0    0    0    0    0    0    0
